step,mean_trust_all_mean,mean_trust_all_lo,mean_trust_all_hi,mean_trust_mean,mean_trust_lo,mean_trust_hi,cumulative_churn_mean,cumulative_churn_lo,cumulative_churn_hi,mean_harm_mean,mean_harm_lo,mean_harm_hi,negative_wom_rate_mean,negative_wom_rate_lo,negative_wom_rate_hi,step_negative_wom_count_mean,step_negative_wom_count_lo,step_negative_wom_count_hi,platform_reputation_mean,platform_reputation_lo,platform_reputation_hi,step_revenue_mean,step_revenue_lo,step_revenue_hi,cumulative_revenue_mean,cumulative_revenue_lo,cumulative_revenue_hi,opportunity_cost_mean,opportunity_cost_lo,opportunity_cost_hi,active_users_mean,active_users_lo,active_users_hi,trust_skeptic_mean,trust_skeptic_lo,trust_skeptic_hi,trust_naive_mean,trust_naive_lo,trust_naive_hi,trust_activist_mean,trust_activist_lo,trust_activist_hi,churned_skeptic_mean,churned_skeptic_lo,churned_skeptic_hi,churned_naive_mean,churned_naive_lo,churned_naive_hi,churned_activist_mean,churned_activist_lo,churned_activist_hi
0,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.24375534426137,59.12001616784321,61.367494520679536,0.0,0.0,0.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,500.0,500.0,500.0,0.6252061913582815,0.624812599091331,0.6255997836252319,0.8253585301092672,0.8251055653476402,0.8256114948708941,0.675331785807354,0.6748819588655846,0.6757816127491234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7347006404611054,0.733759758739721,0.7356415221824898,0.7347011097675292,0.7337621540913384,0.7356400654437201,0.0002600000000000001,0.00012750491375606478,0.00039249508624393536,0.0007242669923244885,0.0007172209284802414,0.0007313130561687356,0.0,0.0,0.0,0.0,0.0,0.0,60.440375344261405,59.317438143330044,61.563312545192765,2588.217722810148,2562.9008615074754,2613.534584112821,12588.217722810148,12562.900861507474,12613.534584112822,-650.0046554200832,-657.7611015547521,-642.2482092854142,499.87,499.80375245687804,499.93624754312197,0.624592954693507,0.6241992579814991,0.6249866514055148,0.8250409727940081,0.8247886343925321,0.8252933111954841,0.6745359383182361,0.6740860557543544,0.6749858208821178,0.05,0.007067588942712276,0.09293241105728772,0.07,0.01973924960465638,0.12026075039534363,0.01,-0.009599999999999992,0.029599999999999994
2,0.7340845025837386,0.7331418336388974,0.7350271715285798,0.734072501011453,0.7331313052673514,0.7350136967555547,0.0005400000000000003,0.0003326105152524885,0.0007473894847475121,0.0016120161875985725,0.0015985080313845258,0.0016255243438126192,0.0,0.0,0.0,0.0,0.0,0.0,60.54245534426141,59.41778231498513,61.66712837353769,2591.0578756160576,2566.5441593387277,2615.5715918933874,15179.27559842621,15129.797233323985,15228.753963528434,-1302.8494636460748,-1316.5870834774366,-1289.111843814713,499.73,499.62630525762626,499.8336947423738,0.6238365813780093,0.623443127429143,0.6242300353268757,0.8246461237530905,0.8243934390594788,0.8248988084467023,0.6735574153480454,0.6731095446987497,0.674005285997341,0.07,0.01973924960465641,0.1202607503953436,0.16,0.08259622852609921,0.2374037714739008,0.04,0.0013985084288812705,0.07860149157111873
3,0.7333485894952468,0.7324039323483288,0.7342932466421649,0.7333364657424629,0.7323919270949535,0.7342810043899723,0.0007600000000000004,0.0005185477473639349,0.0010014522526360658,0.0026726545880820783,0.0026535162487739657,0.002691792927390191,0.0,0.0,0.0,0.0,0.0,0.0,60.6301953442614,59.505956955516915,61.75443373300589,2595.7248181273467,2570.7950970523125,2620.654539202381,17775.00041655355,17700.953983594176,17849.046849512924,-1960.3612143833545,-1980.508987019121,-1940.2134417475881,499.62,499.499273873682,499.740726126318,0.6229184596475138,0.6225239520316896,0.623312967263338,0.8241850275233571,0.8239327314137489,0.8244373236329653,0.672395801842913,0.6719467188419954,0.6728448848438306,0.11,0.04836465660389682,0.17163534339610317,0.21,0.12061458777187452,0.2993854122281255,0.06,0.013218081711115388,0.10678191828888461
4,0.7325259135751971,0.7315776589140623,0.7334741682363319,0.7325245455105809,0.731578478610969,0.7334706124101927,0.0009800000000000006,0.0007157430206955534,0.0012442569793044479,0.003857661465567565,0.0038304826315121625,0.0038848402996229676,0.0,0.0,0.0,0.0,0.0,0.0,60.71385534426141,59.59040919865119,61.837301489871635,2594.9270517240657,2570.9725144026825,2618.881589045449,20369.927468277616,20272.19914856198,20467.65578799325,-2617.075198717353,-2642.737659780065,-2591.412737654641,499.51,499.37787151034775,499.64212848965224,0.6219142417634295,0.6215201722104748,0.6223083113163841,0.8236641513361528,0.8234126170755138,0.8239156855967917,0.6710876804007764,0.6706351337477672,0.6715402270537856,0.16,0.08259622852609926,0.23740377147390074,0.23,0.1382157030221554,0.3217842969778446,0.1,0.04090377646275838,0.15909622353724162
5,0.7316202237447835,0.7306679894302156,0.7325724580593515,0.7316205217920363,0.7306708382470131,0.7325702053370595,0.0013600000000000007,0.0010262589063723846,0.0016937410936276169,0.005162179422839059,0.005127326670612509,0.0051970321750656094,0.0,0.0,0.0,0.0,0.0,0.0,60.7835753442614,59.66166596068543,61.90548472783737,2596.877435464496,2571.6646028992322,2622.09026802976,22966.80490374211,22844.258213729205,23089.35159375502,-3275.7395667917826,-3308.0865360254875,-3243.392597558078,499.32,499.1531294531862,499.4868705468138,0.6208044872772193,0.620409758972162,0.6211992155822765,0.8230905451234204,0.8228392370096578,0.823341853237183,0.6696487406570975,0.6691975093825185,0.6700999719316764,0.21,0.10842247126734011,0.31157752873265987,0.31,0.20320811138130637,0.41679188861869365,0.16,0.08259622852609923,0.2374037714739008
6,0.7306789183113105,0.7297232686934411,0.7316345679291799,0.7306814245213983,0.7297290104839667,0.7316338385588299,0.0016600000000000009,0.0012737639932252662,0.0020462360067747356,0.006519530650732095,0.006476665296736947,0.006562396004727243,0.0,0.0,0.0,0.0,0.0,0.0,60.859575344261394,59.73700431126909,61.9821463772537,2594.9735038415547,2570.604794541299,2619.3422131418106,25561.778407583675,25415.177397667696,25708.379417499655,-3932.500003243271,-3970.8903891494033,-3894.1096173371384,499.17,498.97688199661263,499.3631180033874,0.6196469131952029,0.6192513928503047,0.6200424335401011,0.822495167945391,0.8222444437806798,0.8227458921101022,0.6681657496893902,0.6677176778778076,0.6686138215009729,0.27,0.16262830724981364,0.3773716927501864,0.38,0.25300803493165724,0.5069919650683428,0.18,0.09935536489190873,0.26064463510809127
7,0.7296868669724175,0.7287281533052952,0.7306455806395398,0.7296899583727455,0.7287311071436136,0.7306488096018775,0.0018600000000000008,0.0014729610903594353,0.0022470389096405662,0.007950189333722444,0.007900030618090907,0.00800034804935398,0.0,0.0,0.0,0.0,0.0,0.0,60.943575344261404,59.82038924395929,62.06676144456352,2598.043763597692,2573.0629284597753,2623.0245987356084,28159.822171181357,27988.564058787077,28331.080283575637,-4592.330699450898,-4637.240578293526,-4547.420820608269,499.07,498.87648054517973,499.26351945482025,0.6184263181609545,0.6180324893950958,0.6188201469268132,0.8218714766552115,0.8216211895563502,0.8221217637540729,0.6665886582666732,0.6661403521913962,0.6670369643419503,0.29,0.18104975466023052,0.3989502453397694,0.42,0.28301228544356993,0.55698771455643,0.22,0.1337743997329438,0.3062256002670562
8,0.7286745171405015,0.7277133910738035,0.7296356432071994,0.7286803962786996,0.7277214769375558,0.7296393156198434,0.0021200000000000012,0.0017037268651134431,0.0025362731348865593,0.009411157215335118,0.009354120068504912,0.009468194362165323,0.0,0.0,0.0,0.0,0.0,0.0,61.0227753442614,59.898206413714036,62.14734427480876,2598.9772994212476,2573.9668593899387,2623.9877394525565,30758.799470602607,30562.820669186658,30954.778272018557,-5253.094931482079,-5304.750461087585,-5201.439401876573,498.94,498.73186343255674,499.14813656744326,0.6171672125011204,0.6167746036329914,0.6175598213692494,0.8212364328495361,0.8209855075280155,0.8214873581710567,0.6650054611973749,0.6645572414228876,0.6654536809718622,0.34,0.21786780468970052,0.46213219531029953,0.48,0.33396335868673005,0.6260366413132699,0.24,0.1471021066661972,0.3328978933338028
9,0.727643352684055,0.7266793742568042,0.7286073311113058,0.727659917470191,0.7266979894159605,0.7286218455244214,0.002520000000000002,0.0020861981162518623,0.0029538018837481413,0.010898527138499219,0.010833964533240526,0.010963089743757912,0.0,0.0,0.0,0.0,0.0,0.0,61.09077534426141,59.96560222949349,62.21594845902933,2600.389515727774,2575.3773386138882,2625.4016928416595,33359.188986330395,33138.539919633666,33579.838053027124,-5915.271379819786,-5973.497836132919,-5857.044923506653,498.74,498.5230990581259,498.9569009418741,0.6159011218730954,0.6155067520890473,0.6162954916571436,0.8205812037563013,0.820330265139034,0.8208321423735686,0.6633924892907034,0.6629420929014509,0.6638428856799559,0.43,0.29857824234991237,0.5614217576500876,0.56,0.40409345456623413,0.715906545433766,0.27,0.1740810864333942,0.36591891356660583
