step,mean_trust_all_mean,mean_trust_all_lo,mean_trust_all_hi,mean_trust_mean,mean_trust_lo,mean_trust_hi,cumulative_churn_mean,cumulative_churn_lo,cumulative_churn_hi,mean_harm_mean,mean_harm_lo,mean_harm_hi,negative_wom_rate_mean,negative_wom_rate_lo,negative_wom_rate_hi,step_negative_wom_count_mean,step_negative_wom_count_lo,step_negative_wom_count_hi,platform_reputation_mean,platform_reputation_lo,platform_reputation_hi,step_revenue_mean,step_revenue_lo,step_revenue_hi,cumulative_revenue_mean,cumulative_revenue_lo,cumulative_revenue_hi,opportunity_cost_mean,opportunity_cost_lo,opportunity_cost_hi,active_users_mean,active_users_lo,active_users_hi,trust_skeptic_mean,trust_skeptic_lo,trust_skeptic_hi,trust_naive_mean,trust_naive_lo,trust_naive_hi,trust_activist_mean,trust_activist_lo,trust_activist_hi,churned_skeptic_mean,churned_skeptic_lo,churned_skeptic_hi,churned_naive_mean,churned_naive_lo,churned_naive_hi,churned_activist_mean,churned_activist_lo,churned_activist_hi
0,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.12187767213072,74.56000808392164,75.6837472603398,0.0,0.0,0.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,500.0,500.0,500.0,0.6252061913582815,0.624812599091331,0.6255997836252319,0.8253585301092672,0.8251055653476402,0.8256114948708941,0.675331785807354,0.6748819588655846,0.6757816127491234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352030127853334,0.7342627096580858,0.736143315912581,0.00040000000000000024,0.00024241007056735576,0.0005575899294326447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.13331074365266,74.60510913193471,75.6615123553706,2165.561180367035,2157.45253464333,2173.6698260907397,12165.561180367036,12157.452534643331,12173.669826090741,-0.4976709059387576,-8.606316629643636,7.61097481776612,499.8,499.7212050352837,499.87879496471635,0.625203376464671,0.6248094474686512,0.6255973054606907,0.8253559079428398,0.8251036735452406,0.8256081423404389,0.6753321091812946,0.6748820690485225,0.6757821493140667,0.05,0.007067588942712255,0.09293241105728775,0.09,0.033625795712126365,0.14637420428787362,0.06,0.013218081711115395,0.1067819182888846
2,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352093614433726,0.7342694059747096,0.7361493169120356,0.0008600000000000005,0.0006031296235393618,0.0011168703764606392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.14368523088328,74.64709488697494,75.64027557479162,2164.778130453025,2157.1168358455116,2172.4394250605383,14330.339310820062,14314.574901427644,14346.103720212479,-0.21229189786563438,-15.976701290282037,15.552117494550767,499.57,499.4415648117697,499.6984351882303,0.6252039360009366,0.6248100919276004,0.6255977800742728,0.8253575100902646,0.8251051308718024,0.8256098893087268,0.6753326382543211,0.6748806188992715,0.6757846576093707,0.13,0.05292277518061139,0.20707722481938862,0.19,0.10785365116901044,0.27214634883098954,0.11,0.048364656603896806,0.1716353433961032
3,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352223680292644,0.7342831817759717,0.7361615542825571,0.0012000000000000008,0.0009051762382285814,0.00149482376177142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.15316184888013,74.6862331709853,75.62009052677496,2164.237252527652,2156.9585715472376,2171.515933508066,16494.57656334771,16471.541002981467,16517.612123713952,0.6139650355782942,-22.421595330665898,23.649525401822483,499.4,499.25258811911425,499.5474118808857,0.6252040947417294,0.6248102393681261,0.6255979501153328,0.8253545977366081,0.825102264529673,0.8256069309435433,0.6753387840388012,0.6748865170163937,0.6757910510612087,0.18,0.09024634387458753,0.26975365612541247,0.23,0.13408108643339423,0.3259189135666058,0.19,0.10325841000798155,0.2767415899920185
4,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352274070567014,0.7342873375059286,0.7361674766074743,0.0015400000000000008,0.001201754774272759,0.0018782452257272426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.16179446979714,74.72273111051894,75.60085782907535,2163.669704914607,2156.8416265879164,2170.4977832412974,18658.246268262315,18628.395929688497,18688.096606836134,2.0077695820671577,-27.84256899175074,31.858108155885056,499.23,499.0608773871364,499.39912261286366,0.6252052223657139,0.6248109272991751,0.6255995174322526,0.8253534077337247,0.8251009099832004,0.825605905484249,0.6753368229754761,0.6748850692763166,0.6757885766746357,0.24,0.1390932103274501,0.3409067896725499,0.3,0.1939190322575642,0.40608096774243574,0.23,0.13408108643339425,0.32591891356660574
5,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352334674829544,0.7342907160549386,0.7361762189109702,0.001900000000000001,0.0015246885737595164,0.0022753114262404855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.16961753345913,74.75670879511802,75.58252627180025,2163.0468019460714,2156.587871317079,2169.5057325750636,20821.293070208387,20785.00188908227,20857.584251334505,4.024477097091549,-32.26670402902849,40.315658223211585,499.05,498.86234428687976,499.23765571312026,0.6252050849668119,0.6248113633462322,0.6255988065873916,0.8253512032584055,0.8250985525621355,0.8256038539546755,0.6753283759005696,0.6748772728567931,0.6757794789443461,0.29,0.17754451206065236,0.4024554879393476,0.36,0.24339410067421213,0.47660589932578784,0.3,0.19032205087050305,0.40967794912949695
6,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.735242421688474,0.7342993817266559,0.7361854616502921,0.002100000000000001,0.0017006447620719057,0.002499355237928097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.17680921330137,74.78844652794076,75.56517189866197,2162.7547301031823,2156.644162776593,2168.8652974297715,22984.047800311564,22941.666910900385,23026.428689722743,6.333256455004812,-36.04763295617548,48.714145866185106,498.95,498.7503223810359,499.14967761896406,0.6252008578472842,0.6248075508965493,0.6255941647980191,0.8253554359955928,0.8251028632125232,0.8256080087786624,0.6753286030534648,0.6748783780836395,0.67577882802329,0.34,0.2178678046897005,0.4621321953102996,0.39,0.2626571223630922,0.5173428776369078,0.32,0.20898575212017506,0.43101424787982495
7,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352469514939765,0.7343033206605559,0.736190582327397,0.0023600000000000014,0.0019453707431860848,0.002774629256813918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.18335879235312,74.81805652909593,75.54866105561031,2162.3150374742327,2156.6048539304584,2168.025221018007,25146.362837785804,25098.297651128945,25194.428024442663,9.081728441867417,-38.983458214989795,57.146915098724634,498.82,498.61268537159305,499.02731462840694,0.6252012548590771,0.6248075982469699,0.6255949114711843,0.8253557708642204,0.825103011855523,0.8256085298729178,0.6753239060151272,0.6748731779761387,0.6757746340541156,0.38,0.24703714500628088,0.5129628549937191,0.44,0.30838646104460365,0.5716135389553963,0.36,0.2369183304722535,0.48308166952774645
8,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352562029933878,0.734314872196482,0.7361975337902936,0.002600000000000001,0.0021595227565240163,0.003040477243475986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.18932099666172,74.84566899355417,75.53297299976927,2161.908899185978,2156.542076935309,2167.275721436647,27308.271736971772,27254.87466332901,27361.668810614534,12.236338716985047,-41.16073492577716,65.63341235974725,498.7,498.47976137826197,498.920238621738,0.6252005483965937,0.6248072958599846,0.6255938009332027,0.8253578860471815,0.8251051113627141,0.8256106607316489,0.6753254396711317,0.6748749349802127,0.6757759443620507,0.44,0.297078878857298,0.582921121142702,0.48,0.3393780280685161,0.6206219719314838,0.38,0.24998830821806844,0.5100116917819315
9,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352642080737851,0.7343240259310851,0.7362043902164851,0.0028400000000000014,0.0024113814645994784,0.0032686185354005243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.19473106871183,74.87140169073378,75.51806044668989,2161.49191077688,2156.4620419453895,2166.5217796083707,29469.763647748667,29411.372349023757,29528.154946473576,15.807937401200142,-42.58336132370822,74.1992361261085,498.58,498.3656907322997,498.79430926770027,0.625198141660796,0.6248049152381799,0.6255913680834121,0.8253587541360942,0.8251061638490927,0.8256113444230956,0.6753251851188236,0.6748752586946195,0.6757751115430276,0.5,0.3512777655146917,0.6487222344853083,0.52,0.37664512635428177,0.6633548736457182,0.4,0.2693333333333334,0.5306666666666666
